,filename,label
0,PROESTRO_535_1_0_1_fliped.jpg,PROESTRO
1,ESTRO_227_2_90_2_fliped.jpg,ESTRO
2,METAESTRO_153_3_90_0_fliped.jpg,METAESTRO
3,DIESTRO_603_4_90_0_fliped.jpg,DIESTRO
4,ESTRO_547_2_0_1_fliped.jpg,ESTRO
5,PROESTRO_302_1_270_0.jpg,PROESTRO
6,DIESTRO_585_4_270_1.jpg,DIESTRO
7,ESTRO_330_2_90_1_fliped.jpg,ESTRO
8,PROESTRO_342_1_0_1.jpg,PROESTRO
9,ESTRO_557_2_180_2_fliped.jpg,ESTRO
10,METAESTRO_295_3_0_3.jpg,METAESTRO
11,DIESTRO_199_4_270_3.jpg,DIESTRO
12,DIESTRO_567_4_270_3_fliped.jpg,DIESTRO
13,METAESTRO_210_3_90_0_fliped.jpg,METAESTRO
14,ESTRO_297_2_270_1.jpg,ESTRO
15,METAESTRO_250_3_180_2.jpg,METAESTRO
16,DIESTRO_194_4_90_2_fliped.jpg,DIESTRO
17,PROESTRO_511_1_270_1_fliped.jpg,PROESTRO
18,PROESTRO_438_1_180_2.jpg,PROESTRO
19,DIESTRO_356_4_0_2.jpg,DIESTRO
20,DIESTRO_337_4_270_1.jpg,DIESTRO
21,DIESTRO_352_4_180_3.jpg,DIESTRO
22,PROESTRO_364_1_0_1.jpg,PROESTRO
23,DIESTRO_162_4_90_1_fliped.jpg,DIESTRO
24,METAESTRO_395_3_270_1.jpg,METAESTRO
25,DIESTRO_593_4_270_2.jpg,DIESTRO
26,METAESTRO_254_3_0_0_fliped.jpg,METAESTRO
27,ESTRO_558_2_270_3_fliped.jpg,ESTRO
28,PROESTRO_234_1_0_2.jpg,PROESTRO
29,DIESTRO_266_4_90_0.jpg,DIESTRO
30,DIESTRO_425_4_0_2.jpg,DIESTRO
31,PROESTRO_279_1_90_1_fliped.jpg,PROESTRO
32,DIESTRO_479_4_0_3.jpg,DIESTRO
33,DIESTRO_278_4_270_0_fliped.jpg,DIESTRO
34,ESTRO_594_2_270_2.jpg,ESTRO
35,DIESTRO_223_4_90_3.jpg,DIESTRO
36,ESTRO_220_2_180_1.jpg,ESTRO
37,DIESTRO_551_4_0_3_fliped.jpg,DIESTRO
38,METAESTRO_253_3_0_0_fliped.jpg,METAESTRO
39,PROESTRO_314_1_90_2.jpg,PROESTRO
40,PROESTRO_313_1_180_1.jpg,PROESTRO
41,PROESTRO_281_1_270_0_fliped.jpg,PROESTRO
42,DIESTRO_288_4_270_3_fliped.jpg,DIESTRO
43,PROESTRO_455_1_0_0.jpg,PROESTRO
44,DIESTRO_600_4_0_3.jpg,DIESTRO
45,DIESTRO_338_4_180_2.jpg,DIESTRO
46,ESTRO_546_2_270_2.jpg,ESTRO
47,METAESTRO_294_3_0_2.jpg,METAESTRO
